ID_KONGRESS,ID,ID_SEMINAR,FARBCODE,TRACK,TRACK_EN,ORDERT,AUDIENCE,AUDIENCE_EN,DATUM,TIMESTAMP,TIMESTAMP_ENDE,SIMULTAN,DATUM_ES_EN,DATUM_ES,BEGINN,ENDE,SEMINAR_NR,RAUM_NR,RAUMNAME,AREAID,TITEL,TITEL_ES,TITEL_EN,ABSTRACT_EN,REFERENT_NAME,REFERENT_NACHNAME,REFERENT_FIRMA,ID_PERSON,ID_PERSON_COREF,ID_PERSON_COCOREF,VORTRAGSTYP,VORTRAGSTYP_EN,COREFERENT_NAME,COCOREFERENT_NAME,COREFERENT_FIRMA,COCOREFERENT_FIRMA,ABSTRACT_TEXT,SPRACHE,SPRACHE_EN,DEMO_EN,DEMO
506707,507585,507585,334479,Architektur und Sicherheit,architecture and security,1,Fortgeschrittene,advanced,2017-07-06 00:00:00.0,2017-07-06 11:10:00.0,2017-07-06 11:55:00.0,,2017-07-06,06.07.2017,11:10,11:55,52,5,Schiller Saal,5/S,[E3] Domain Events und Event Storming,[E3] Domain Events und Event Storming,,,Michael Plöd,Plöd,innoQ,371278,,,,,,,,,"Das Thema Domain-driven Design ist derzeit in aller Munde und hat sich im Lauf der Jahre spürbar weiterentwickelt. Insbesondere das Thema Domain Events spielt hierbei eine zentrale Rolle. Mithilfe von Domain Events können Bounded Contexts sehr lose gekoppelt auf Basis fachlicher Ereignisse miteinander interagieren. Dabei öffnen Domain Events neben dem architekturellen Vorteil lose Kopplung die Tür für weitere interessante Möglichkeiten. Hierzu zählen die Persistierung von Events (Event Sourcing) und eine neue Form der fachlichen Analyse, das Event Storming.

Der Vortrag wird die Konzepte von Domain Events vorstellen, Ihnen erläutern, wie diese idealerweise für Kommunikation und Persistierung verwendet werden können. Weiterhin wird im Rahmen des Vortrags auch das Analyseverfahren Event Storming praktisch vorgestellt.",Deutsch,German,No,Nein
506707,507435,507435,334478,Methodik und Praxis,methodology and practice,6,Anfänger,beginner,2017-07-06 00:00:00.0,2017-07-06 08:45:00.0,2017-07-06 09:30:00.0,,2017-07-06,06.07.2017,08:45,09:30,16,3,Silcher Saal,3/S,[C1] Faktenbasiertes Debuggen von Software Teams,[C1] Faktenbasiertes Debuggen von Software Teams,,,Elmar Juergens,Juergens,CQSE GmbH & TU München,373793,,,,,,,,,"Passen Architektur einer Anwendung und Kommunikationsstrukturen ihres Entwicklungsteams nicht zueinander, führt das zu Problemen. Sowohl die Architektur, als auch die Teamorganisation entwickeln sich jedoch oft unabhängig voneinander weiter. Wie können wir früh merken wenn Probleme auftreten, um rechtzeitig reagieren zu können?

Im Vortrag stelle ich moderne Analysetechniken vor, die uns hierbei unterstützen. Die Analysen beziehen dabei eine Vielzahl von Daten ein, die wir in der Software-Entwicklung produzieren: Von Code, über Versionshistorien, bis hin zu Traces und Ausführungsinformationen aus Test- und Produktionssystemen. Dadurch erlauben sie faktenbasierte Entscheidungen in einem Umfeld, in dem gerade in Krisensituationen sonst oft emotionsgeladene Diskussionen geführt werden.

Ich stelle im Vortrag sowohl die Analysen, als auch Fallstudien und Beispiele aus 10 Jahren Praxiseinsatz vor. Dabei gehe ich auf Beispiele aus kommerzieller Software und Open-Source Systemen ein. Außerdem stelle ich dar, welche der Analysen wie einfach im eigenen Projekt eingesetzt werden können, und auch, wo ihre Grenzen liegen. 

Der Vortrag richtet sich an alle Rollen, die in Software-Projekten mitarbeiten und ist nicht auf Entwickler-, Tester oder Manager beschränkt.",Deutsch,German,No,Nein
506707,507511,507511,334478,Methodik und Praxis,methodology and practice,6,Anfänger,beginner,2017-07-06 00:00:00.0,2017-07-06 09:50:00.0,2017-07-06 10:35:00.0,,2017-07-06,06.07.2017,09:50,10:35,34,7,Raum Usedom,7/R,[D2] Ich mach dann mal REPL Driven Development in Java,[D2] Ich mach dann mal REPL Driven Development in Java,,,Thorsten Ludwig,Ludwig,inovex GmbH,373798,,,,,,,,,"Wer kennt es nicht: Man hat eine schön neue Bibliothek gefunden, die einem alle Probleme löst. Doch die Dokumentation lässt einem viele Fragen offen, wie sie benutzt wird. Oder was passiert, wenn ich diese oder jene Zeile in unserem Projekt ändere? Und was für ein Ergebnis gibt mir nochmal &quot;Hallo Welt&quot;.substring(3,6) zurück?
Während man so darüber nachdenkt, schaut man neidisch zu seinem Scala/Clojure/Haskell... Kollegen rüber, der diese Fragen in sekundenschnelle in seiner REPL ausprobiert.

Mit Java 9 hält endlich auch eine REPL namens JShell Einzug ins Java Universum. In diesem Vortrag werde ich zeigen, was JShell kann und wie es an vielen Stellen den Alltag als Java-Entwickler verbessern kann.",Deutsch,German,Yes,Ja
506707,507540,507540,334478,Core Java und JVM-Sprachen,Core Java and JVM languages,4,Anfänger,beginner,2017-07-06 00:00:00.0,2017-07-06 11:10:00.0,2017-07-06 11:55:00.0,,2017-07-06,06.07.2017,11:10,11:55,41,1,Beethoven Saal,1/B,[B3] Über den Umgang mit Streams,[B3] Über den Umgang mit Streams,,,Michael Wiedeking,Wiedeking,MATHEMA Software GmbH,368407,,,,,,,,,"Java 8 hat die Java-Welt schon ein bisschen umgekrempelt. So sind Lambda-Ausdrücke und Streams (zumindest für diejenigen, die schon mit Java 8 arbeiten dürfen) aus dem Programmieralltag nicht mehr wegzudenken. Und dennoch ist noch immer nicht klar, was man wann am besten wie benutzt. Grund genug sich genauer anzusehen, was die Streams von Hause aus mitbringen, wo der Entwickler noch selbst Hand anlegen muss, wo es unerwartete Probleme gibt und wie man schließlich all das mit Streams machen kann, was man früher mit for- und while-Schleifen machen musste.",Deutsch,German,Yes,Ja
506707,507565,507565,334479,Enterprise Java und Frameworks,Enterprise Java and frameworks,3,Fortgeschrittene,advanced,2017-07-06 00:00:00.0,2017-07-06 08:45:00.0,2017-07-06 09:30:00.0,,2017-07-06,06.07.2017,08:45,09:30,47,4,Hegel Saal,4/H,[F1] JAX-RS 2.1 Reloaded,[F1] JAX-RS 2.1 Reloaded,,,Markus Karg,Karg,Head Crashing Informatics,371284,,,,,,,,,"Das Warten hat ein Ende! Nach zwei Renewal Ballots, erheblicher Reduktion des Feature-Umfangs, heftigen Diskussionen der Expert Group und langer, langer Wartezeit ist es endlich da: JAX-RS 2.1!

Neben CDI und JPA stellt es den Kern von Java EE 8 dar und dient zur Implementierung moderner RESTful Microservices in Java. Welche Feature es nun definitiv in die Final Release geschafft haben, und welche faszinierenden Fähigkeiten nun tatsächlich möglich sind, erläutert Expert Group Member Markus Karg in diesem spannenden Technologie-Vortrag.",Deutsch,German,No,Nein
506707,507593,507593,334479,Enterprise Java und Frameworks,Enterprise Java and frameworks,3,Fortgeschrittene,advanced,2017-07-06 00:00:00.0,2017-07-06 15:35:00.0,2017-07-06 16:20:00.0,,2017-07-06,06.07.2017,15:35,16:20,54,2,Mozart Saal,2/M,[F6] (How to) use Swagger to develop REST application,[F6] (How to) use Swagger to develop REST application,,,Johannes Fiala,Fiala,FWD GmbH,373823,,,,,,,,,"This talk will show how you can use Swagger-Codegen to generate a complete web application (Apache CXF3 with Spring Boot-support) and deploy to application servers (e.g. Jboss).

Topics included: 
* Edit the Swagger contract using Swagger Editor 
* Configure the generator to use features of CXF (Gzip, Bean-Validation, Logging, ) 
* Generate client SDKs (e.g. Java/Javascript) 
* access the application with the browser using Swagger-UI 
* generate PDF documentation using Swagger2Markup 
* how to customize Swagger-Codegen Language code/templates",Englisch,English,Yes,Ja
506707,507380,507380,334478,Methodik und Praxis,methodology and practice,6,Anfänger,beginner,2017-07-06 00:00:00.0,2017-07-06 11:10:00.0,2017-07-06 11:55:00.0,,2017-07-06,06.07.2017,11:10,11:55,3,4,Hegel Saal,4/H,[D3] Docker - Eine Einführung,[D3] Docker - Eine Einführung,,,Andreas Hartmann,Hartmann,adesso AG,373207,,,,,,,,,"Der Trend hin zur Virtualisierung mit Docker ist nach wie vor ungebrochen. Infrastructure as Code ist aus der IT-Welt nicht mehr wegzudenken und wird zunehmend integraler Bestandteil der Softwareentwicklung. Im Rahmen des Vortrages werden die Grundlagen zu Docker praxisnah vermittelt, sowie wird u.a. auf das Container Linking, Data Volumes und Multi Container Applikationen eingegangen. Abschließend wird der Einsatz von Docker in der Webentwicklung anhand eines Beispiels dargestellt.",Deutsch,German,Yes,Ja
506707,507459,507459,334479,Methodik und Praxis,methodology and practice,6,Fortgeschrittene,advanced,2017-07-06 00:00:00.0,2017-07-06 09:50:00.0,2017-07-06 10:35:00.0,,2017-07-06,06.07.2017,09:50,10:35,22,5,Schiller Saal,5/S,[C2] Features Branches mit CI ?,[C2] Features Branches mit CI ?,,,Steffen Schluff,Schluff,Orientation in Objects GmbH,373796,,,,,,,,,"Die Verwendung von Feature Branches bietet den Vorteil, in einem isolierten Bereich entwicklen zu können und die Ergebnisse erst nach Abschluss der Arbeiten in die Hauptentwicklungslinie einfließen lassen zu müssen. Ein Kerngedanke von Continuous Integration ist die mindestens tägliche Integration der Arbeit aller Projektmitglieder, sodass oft zu hören ist, dass Feature Branches durch deren verspätete Integration für CI unbrauchbar sind. 
Der Vortrag stellt die Hintergründe dieses &quot;Streits&quot; vor und zeigt, wie Feature Branches durch entsprechende Maßnahmen und Tool-Unterstützung im CI-Server helfen können, den Master fehlerfrei zu halten- ohne Abstriche beim Testen machen zu müssen.",Deutsch,German,No,Nein
506707,507493,507493,334479,Core Java und JVM-Sprachen,Core Java and JVM languages,4,Fortgeschrittene,advanced,2017-07-06 00:00:00.0,2017-07-06 12:15:00.0,2017-07-06 13:00:00.0,,2017-07-06,06.07.2017,12:15,13:00,30,2,Mozart Saal,2/M,[B4] Unleashing Java Security!,[B4] Unleashing Java Security!,,,Philipp Buchholz,Buchholz,Deutsches Zahnärtzliches Rechenzentrum,373806,,,,,,,,,"Innerhalb von Enterprise-Anwendungen spielen Sicherheitsaspekte eine wichtige Rolle. Nur autorisierte Benutzer oder allgemein autorisierte Entitäten dürfen auf sensible Daten oder Systemteile zugreifen. Oftmals machen rechtliche und organisatorische Rahmenbedingungen eine Autorisierung, also eine Zugriffskontrolle notwendig. In diesem Artikel wird als Erstes die grundlegende Sicherheitsarchitektur von Java mit den beteiligten Klassen und deren Verwendung erläutert. Das Konzept der ProtectionDomains, die Verwendung von Policies, selbst implementierte Permissions und mehr wird erläutert. Darauf aufbauend geht der Artikel auf die Möglichkeiten von Authentifizierung und Autorisierung basierend auf der JAAS-Spezifikation ein. Abschließend werden die grundlegenden Möglichkeiten der JASPIC-Spezifikation im Kontext von Java EE Anwendungen erläutert.",Deutsch,German,Yes,Ja
506707,507524,507524,334478,IoT und Embedded,IoT and embedded,6,Anfänger,beginner,2017-07-06 00:00:00.0,2017-07-06 08:45:00.0,2017-07-06 09:30:00.0,,2017-07-06,06.07.2017,08:45,09:30,37,6,Raum Sylt,6/R,[A1] SponsoredTalk ORACLE JET on Speed mit socket.io,[A1] SponsoredTalk ORACLE JET on Speed mit socket.io,,,Enno Schulte,Schulte,virtual7 GmbH,373833,,,,,,,,,"Echtzeitapplikationen definieren sich durch bezifferte kurze Antwortzeiten. Diese sollen in der Regel
so kurz sein, dass für die menschliche Wahrnehmung keine Verzögerung bemerkbar ist. Um diese
Performanz zu erreichen müssen Server über entsprechende Ressourcen verfügen und das Netzwerk
niedrige Latenzzeiten ermöglichen. Durch den geringeren Overhead und permanente
Duplexverbindungen kann das Websocket Protokoll einen sinnvollen Beitrag zu diesem Szenario
leisten. Vorwiegend findet man Echtzeitapplikation in der Prozessautomatisierung oder Daten- und
Telekommunikation. Mit dem Internet-of-Things (IoT) kommt ein weiterer Bereich, in dem die
Verbindungsgeschwindigkeit eine große Rolle spielt hinzu. Niemand möchte mehrere Sekunden
warten bis das Licht angeht oder eine Tür sich öffnet. Läuft die Kommunikation zwischen Geräten
und Clients über eine Cloud-Instanz wird das Szenario noch verschärft. Oracles JavaScript Toolkit JET ist darauf
ausgelegt, mithilfe von REST basierten Webservices über HTTP mit einem Backend zu
kommunizieren. Diese Form der Kommunikation ist bereits dazu gedacht die Reaktionszeiten
möglichst gering zu halten. Durch den Einsatz des Websocket Protokolls kann diese
Reaktionsgeschwindigkeit zusätzlich gesteigert werden. Insbesondere wenn eine große Anzahl an
Clients und / oder Geräten ins Spiel kommt. In einer Demo wird gezeigt, wie eine Oracle JET
Applikation mittels Socket.io mit einem NodeJS Backend kommuniziert. Das Backend läuft auf einem
Raspberry Pi und steuert ca. 200 digitale LEDs einzeln an. Gleichzeitig übermittelt das Backend alle
Zustandsänderungen der LEDs an alle angeschlossenen Oracle JET basierten Clients in Echtzeit.",Deutsch,German,Yes,Ja
