Speaker,TwitterHandle,EventId
Adam Gowdiak,,510135
Alex Soto Bueno,https://twitter.com/alexsotob,509464
Alexander Casall,https://twitter.com/sialcasa,509696
Alexander Heusingfeld,https://twitter.com/goldstift,509488
Anatole Tresch,https://twitter.com/atsticks,509415
Andreas Evers,https://twitter.com/andreasevers,509447
Andreas Knuth,,509726
Andres Almiray,https://twitter.com/aalmiray,509552
Andrey Adamovich,https://twitter.com/codingandrey,510827
Andrey Adamovich,https://twitter.com/codingandrey,509764
Andrzej Grzesik,unklar,509580
Anton Epple,https://twitter.com/monacotoni,509377
Arek Czarnik,,509411
Benedict Pregler,https://twitter.com/BenedictPregler,509710
Bernhard Cygan,https://twitter.com/bcygan,517655
Bert Jan Schrijver,https://twitter.com/bjschrijver,509643
Bert Jan Schrijver,https://twitter.com/bjschrijver,509821
Björn Kimminich,https://twitter.com/bkimminich,509407
Bruno Borges,https://twitter.com/brunoborges,509656
Burr Sutter,https://twitter.com/burrsutter,509369
Carola Lilienthal,https://twitter.com/cairolali,509395
Christian Götz,https://twitter.com/goetzchr,509350
Christian Kaltepoth,https://twitter.com/chkal,509442
Christoph Deppisch,https://twitter.com/freaky_styley,509668
Christoph Engelbert,https://twitter.com/noctarius2k,509364
Christopher Batey,https://twitter.com/chbatey,509419
Daniel Grycman,https://twitter.com/danielgrycman,509701
David Barnes,https://twitter.com/dnbglobal,517668
David Barnes,https://twitter.com/dnbglobal,517640
David Blevins,https://twitter.com/dblevins,509919
David Delabassee,https://twitter.com/delabassee,509664
Dierk König,https://twitter.com/mittie,509525
Dmitry Vyazelenko,https://twitter.com/DVyazelenko,509586
Dominik Schadow,https://twitter.com/dschadow,510842
Dr Roland Huß,https://twitter.com/ro14nd,509455
Dr.  Matthias Naab,,509423
Eberhard Wolff,https://twitter.com/ewolff,509606
Falk Sippach,https://twitter.com/sippsack,509386
François Le Droff,,509741
Frank Closheim,https://twitter.com/inxire,517634
Fried Saacke,nicht relevant? ;-),509948
Geertjan Wielenga,https://twitter.com/GeertjanW,509459
Gerrit Grunwald,https://twitter.com/hansolo_,509566
Guido Oelmann,,509706
Harm Gnoyke,https://twitter.com/harmgnoyke,509804
Hendrik Ebbers,https://twitter.com/hendrikebbers,509651
Henning Schwentner,https://twitter.com/hschwentner,509632
Holly Cummins,https://twitter.com/holly_cummins,509433
Hubert Klein Ikkink,https://twitter.com/mrhaki,509825
Ivar Grimstad,https://twitter.com/ivar_grimstad,509660
Ivar Grimstad,https://twitter.com/ivar_grimstad,509493
James Weaver,,509595
Jan Carsten Lohmüller,,509688
Jan Reimann,,510854
Jason Porter,https://twitter.com/lightguardjp,510010
Jens Schauder,https://twitter.com/jensschauder,509557
Jeremias Rößler,https://twitter.com/roesslerj,509345
Jochen Mader,https://twitter.com/codepitbull,509626
Jochen Mader,https://twitter.com/codepitbull,510847
Johan Janssen,https://twitter.com/johanjanssen42,509715
Kai Tödter,https://twitter.com/kaitoedter,509621
Kirk Pepperdine,https://twitter.com/javaperftuning,509516
Klara Ward,https://twitter.com/klaraward,509837
Lars Röwekamp,https://twitter.com/mobilelarson,509845
Lars Vogel,https://twitter.com/vogella,509590
Lutz Hühnken,https://twitter.com/lutzhuehnken,509451
Manuel Mauky,https://twitter.com/manuel_mauky,509856
Marc Sluiter,https://twitter.com/slintes,509429
Mario Vöhl,https://twitter.com/anqu_method,509692
Mark Heckler,https://twitter.com/MkHeck,509595
Mark Paluch,https://twitter.com/mp911de,509676
Mark Struberg,https://twitter.com/struberg,509638
Markus Eisele,https://twitter.com/myfear,509943
Markus Eisele,https://twitter.com/myfear,509961
Markus Jura,https://twitter.com/MarkusJura,518563
Markus Schlichting,unklar,509841
Martin Förtsch,https://twitter.com/MartinFoertsch,509757
Martin Kanters,unklar,509715
Maurice Naftalin,https://twitter.com/mauricenaftalin,509964
Michael Heinrichs,https://twitter.com/net0pyr,509651
Michael Sperber,https://twitter.com/sperbsen,509399
Michael Tamm,unklar,509540
Mirko Seifert,unklar,510854
Mohamed Taman,https://twitter.com/_tamanm,509475
Niklas Heidloff,https://twitter.com/nheidloff,515755
Niko Köbler,https://twitter.com/dasniko,510867
Oleg Shelajev,https://twitter.com/shelajev,509747
Oliver Gierke,https://twitter.com/olivergierke,509800
Oliver Heuser,unklar,509471
Oliver Hock,unklar,509680
Paul Bakker,https://twitter.com/pbakker,509535
Peter Lehto,https://twitter.com/peter_lehto,517646
Philipp Tarasiewicz,https://twitter.com/justphilmusic,509437
Ralf Müller,https://twitter.com/RalfDMueller,509547
Ray Tsang,https://twitter.com/saturnism,509561
Reinier Zwitserloot,https://twitter.com/surial,509814
Reinier Zwitserloot,https://twitter.com/surial,509720
Rene Groeschke,https://twitter.com/breskeby,509830
Robert Seedorf,,517622
Roel Spilker,https://twitter.com/rspilker,509814
Roel Spilker,https://twitter.com/rspilker,509720
Romain Pelisse,https://twitter.com/rpelisse,509741
Roman Roelofsen,,518035
Rustam Mehmandarov,https://twitter.com/rmehmandarov,509601
Sander Mak,https://twitter.com/sander_mak,509535
Sean Floyd,https://twitter.com/oldJavaGuy,509924
Simon Maple,https://twitter.com/sjmaple,510002
Simon Ritter,https://twitter.com/speakjava,517784
Stephan Kaps,https://twitter.com/kitenco1,509610
Stephan Rauh,https://twitter.com/BeyondJava,509860
Stephen Chin,https://twitter.com/steveonjava,509575
Susanne Braun,https://twitter.com/susannebraun,509423
Sven Haiges,https://twitter.com/hansamann,509373
Sven Kölpin,,510217
Sven Ruppert,https://twitter.com/SvenRuppert,509810
Tammo van Lessen,https://twitter.com/taval,509488
Thomas Darimont,https://twitter.com/thomasdarimont,509505
Thomas Endres,https://twitter.com/originalOne1984,509757
Thomas Much,https://twitter.com/thmuch,509511
Thorben Janssen,https://twitter.com/thjanssen123,509672
Thorsten Maier,https://twitter.com/ThorstenMaier,510882
Tobias Kraft,https://twitter.com/tokraft,509547
Tobias Schneck,,509731
Torben Fojuth,,509403
Werner Keil,https://twitter.com/wernerkeil,509382
Alexander Schwartz,https://twitter.com/ahus1de,509520
